 Distance from Base (TBH),Address,Bikes Available,Latitude,Longitude,Station ID,Station Name,Station Plus-Codes,Station Status,Total Docks,Zipcode
2.3,"N Franklin St, Chicago, IL",8,41.89674697,-87.63566762,31,Franklin St & Chicago Ave,86HJV9W7%2BMP,Deficit,23,60654
1.2,"W Congress Pkwy & S Racine Ave, Chicago, IL",15,41.87464,-87.65703,32,Racine Ave & Congress Pkwy,86HJV8FV%2BV5,Excess,19,60607
1.7,"E Van Buren St & S State St, Chicago, IL",20,41.877181,-87.627844,33,State St & Van Buren St,86HJV9GC%2BVV,Excess,27,60605
5.5,"N Cannon Dr & W Fullerton Ave, Chicago, IL",5,41.92675599,-87.63442879,34,Cannon Dr & Fullerton Ave,86HJW9G8%2BP6,Deficit,15,60614
3.5,"E Grand Ave & N Streeter Dr, Chicago, IL",27,41.892278,-87.612043,35,Streeter Dr & Grand Ave,86HJV9RQ%2BW5,Sufficient Quantity,47,60611
1.4,"Jackson Blvd & S Franklin St, Chicago, IL",26,41.87770796,-87.63532114,36,Franklin St & Jackson Blvd,86HJV9H7%2B3V,Excess,39,60606
1.8,"S Dearborn St & W Adams St, Chicago, IL",4,41.87935636,-87.62979104,37,Dearborn St & Adams St,86HJV9HC%2BP3,Deficit,19,60604
2.2,"N Clark St & W Lake St, Chicago, IL",0,41.88602083,-87.63087606,38,Clark St & Lake St,86HJV9P9%2BCJ,Deficit,27,60601
2.2,"E Adams St & S Wabash Ave, Chicago, IL",16,41.87947235,-87.62568861,39,Wabash Ave & Adams St,86HJV9HF%2BQP,Excess,23,60604
1.7,"W Adams St & S La Salle St, Chicago, IL",8,41.87934437,-87.63198522,40,LaSalle St & Adams St,86HJV9H9%2BP6,Sufficient Quantity,15,60604
1.3,"S Federal St & W Polk St, Chicago, IL",0,41.87207763,-87.62954377,41,Federal St & Polk St,86HJV9CC%2BR5,Deficit,19,60605
2,"S Wabash Ave & E Cermak Rd, Chicago, IL",2,41.852619,-87.626488,42,Wabash Ave & Cermak Rd,86HJV93F%2B2C,Deficit,11,60616
2.4,"Michigan Ave & E Washington St, Chicago, IL",2,41.88398407,-87.62468398,43,Michigan Ave & Washington St,86HJV9MG%2BH4,Deficit,43,60602
2.3,"E Randolph St & N State St, Chicago, IL",22,41.88462107,-87.62783423,44,State St & Randolph St,86HJV9MC%2BRV,Excess,23,60602
1.8,"Michigan Ave & East Ida B. Wells Drive, Chicago, IL",5,41.876243,-87.624426,45,Michigan Ave & Ida B Wells Dr,86HJV9GG%2BF6,Deficit,15,60605
3.4,"N Wells St & W Walton St, Chicago, IL",4,41.89993001,-87.63443007,46,Wells St & Walton St,86HJV9X8%2BX6,Deficit,19,60610
2.8,"N State St & Kinzie St, Chicago, IL",23,41.88937547,-87.62707651,47,State St & Kinzie St,86HJV9QF%2BQ5,Excess,31,60654
2.5,"N Kingsbury St & N Larrabee St, Chicago, IL",25,41.897764,-87.642884,48,Larrabee St & Kingsbury St,86HJV9X4%2B4R,Sufficient Quantity,43,60610
1.9,"W Monroe St & S Dearborn St, Chicago, IL",6,41.88131982,-87.62952092,49,Dearborn St & Monroe St,86HJV9JC%2BG5,Deficit,39,60603
1.7,"S Clark St & W Ida B. Wells Dr, Chicago, IL",8,41.87593267,-87.63058454,50,Clark St & Ida B Wells Dr,86HJV9G9%2B9Q,Deficit,35,60605
2.3,"W Randolph St & N Clark St, Chicago, IL",43,41.88457623,-87.63188991,51,Clark St & Randolph St,86HJV9M9%2BR6,Excess,43,60601
2.5,"Michigan Ave & E Lake St, Chicago, IL",3,41.886024,-87.624117,52,Michigan Ave & Lake St,86HJV9PG%2BC9,Deficit,35,60601
3.1,"N Wells St & W Huron St, Chicago, IL",0,41.894722,-87.634362,53,Wells St & Huron St,86HJV9V8%2BV7,Deficit,27,60654
2.5,"N Ogden Ave & W Chicago Ave, Chicago, IL",9,41.89636246,-87.65406127,54,Ogden Ave & Chicago Ave,86HJV8WW%2BG9,Sufficient Quantity,19,60642
0.1,"Roosevelt Rd & S Halsted St, Chicago, IL",6,41.867324,-87.648625,55,Halsted St & Roosevelt Rd,86HJV982%2BWH,Deficit,23,60607
1.9,"N Des Plaines St & W Kinzie St, Chicago, IL",20,41.88871604,-87.64444785,56,Desplaines St & Kinzie St,86HJV9Q4%2BF6,Excess,27,60654
0.4,"Roosevelt Rd & S Clinton St, Chicago, IL",11,41.86711778,-87.64108796,57,Clinton St & Roosevelt Rd,86HJV985%2BRH,Excess,15,60607
4.2,"N Elston Ave & W Cortland St, Chicago, IL",13,41.91643343,-87.66674638,58,Elston Ave & Cortland St,86HJW88M%2BH8,Sufficient Quantity,23,60642
4.4,"W Cortland St & N Elston Ave, Chicago, IL",7,41.867227,-87.625961,59,Wabash Ave & Roosevelt Rd,86HJV98F%2BVJ,Deficit,23,60642
4.7,"N Dayton St, Chicago, IL",4,41.91057804,-87.64942193,60,Dayton St & North Ave,86HJW962%2B66,Deficit,19,60614
3.6,"N Wood St & N Milwaukee Ave, Chicago, IL",0,41.907655,-87.672552,61,Wood St & Milwaukee Ave,86HJW85G%2B3X,Deficit,19,60622
2.4,"McCormick Place, 2301 S King Dr, Chicago, IL",1,41.85137517,-87.61883465,62,McCormick Place,86HJV92J%2BHF,Deficit,27,60616
1.7,"N Clinton St & W Lake St, Chicago, IL",8,41.885637,-87.641823,66,Clinton St & Lake St,86HJV9P5%2B77,Deficit,23,60661
4.2,"N Sheffield Ave & W Fullerton Ave, Chicago, IL",4,41.92560188,-87.65370804,67,Sheffield Ave & Fullerton Ave,86HJW8GW%2B6G,Deficit,27,60614
1.1,"W Tilden St & S Clinton St, Chicago, IL",10,41.875885,-87.640795,68,Clinton St & Tilden St,86HJV9G5%2B9M,Sufficient Quantity,23,60607
4.1,"W Pierce Ave & N Damen Ave, Chicago, IL",8,41.90939601,-87.67769193,69,Damen Ave & Pierce Ave,86HJW85C%2BQW,Deficit,23,60622
1.6,"N Sangamon St & W Lake St, Chicago, IL",4,41.88577925,-87.65102461,71,Sangamon St & Lake St,86HJV8PX%2B8H,Deficit,23,60607
1.7,"S Wabash Ave & E 16th St, Chicago, IL",36,41.860384,-87.625813,72,Wabash Ave & 16th St,86HJV96F%2B5M,Excess,39,60616
1.3,"W Monroe St & S Jefferson St, Chicago, IL",8,41.88032963,-87.64274597,73,Jefferson St & Monroe St,86HJV9J4%2B4W,Deficit,19,60661
3.2,"W Erie St & N Kingsbury St, Chicago, IL",13,41.89380806,-87.64169723,74,Kingsbury St & Erie St,86HJV9V5%2BG8,Sufficient Quantity,23,60654
1.2,"S Canal St & Jackson Blvd, Chicago, IL",40,41.877245,-87.639366,75,Canal St & Jackson Blvd,86HJV9G6%2BV7,Excess,43,60606
2.5,"E Monroe St & S DuSable Lake Shore Dr., Chicago, IL",0,41.880958,-87.616743,76,DuSable Lake Shore Dr & Monroe St,86HJV9JM%2B98,Deficit,39,60601
1.6,"W Madison St & N Clinton St, Chicago, IL",26,41.882242,-87.641066,77,Clinton St & Madison St,86HJV9J5%2BVH,Excess,31,60606
1.4,"S Aberdeen St & W Monroe St, Chicago, IL",6,41.880419,-87.655519,80,Aberdeen St & Monroe St,86HJV8JV%2B5Q,Deficit,19,60607
2.1,"Richard J. Daley Center, 50 W Washington St, Chicago, IL",9,41.884241,-87.629634,81,Daley Center Plaza,86HJV9MC%2BM4,Sufficient Quantity,20,60602
1.8,"W Grand Ave & N Milwaukee Ave, Chicago, IL",14,41.891578,-87.648384,84,Milwaukee Ave & Grand Ave,86HJV9R2%2BJJ,Excess,19,60642
4,"Michigan Ave & E Oak St, Chicago, IL",22,41.90096039,-87.62377664,85,Michigan Ave & Oak St,86HJW92G%2B9F,Excess,23,60611
3.1,"Eckhart (Bernard) Park, 1330 W Chicago Ave, Chicago, IL",0,41.89637337,-87.66098386,86,Eckhart Park,86HJV8WQ%2BGJ,Deficit,19,60642
4.3,"N Racine Ave & W Fullerton Ave, Chicago, IL",18,41.92556258,-87.65840426,87,Racine Ave & Fullerton Ave,86HJW8GR%2B6J,Excess,19,60614
1.8,"N Racine Ave & W Randolph St, Chicago, IL",18,41.884069,-87.656853,88,Racine Ave & Randolph St,86HJV8MV%2BJ7,Excess,19,60607
1.4,"Financial Place & Ida B Wells Drive, Chicago, IL",5,41.87502363,-87.63309404,89,Financial Pl & Ida B Wells Dr,86HJV9G8%2B2Q,Deficit,31,60607
2.3,"Millennium Park, 201 E Randolph St, Chicago, IL",19,41.8810317,-87.62408432,90,Millennium Park,86HJV9JG%2BC9,Deficit,47,60602
1.5,"W Washington Blvd & N Clinton St, Chicago, IL",26,41.88338,-87.64117,91,Clinton St & Washington Blvd,86HJV9M5%2B9G,Excess,31,60661
2.2,"N Carpenter St & W Huron St, Chicago, IL",6,41.894556,-87.653449,92,Carpenter St & Huron St,86HJV8VW%2BRJ,Deficit,19,60642
4.4,"N Sheffield Ave & W Willow St, Chicago, IL",12,41.913688,-87.652855,93,Sheffield Ave & Willow St,86HJW87W%2BFV,Excess,15,60614
5.6,"W Armitage Ave & N Clark St, Chicago, IL",13,41.918306,-87.636282,94,Clark St & Armitage Ave,86HJW997%2B8F,Sufficient Quantity,31,60614
8.8,"S Stony Is Ave & E 64th St, Chicago, IL",5,41.778881,-87.586647,95,Stony Island Ave & 64th St,86HJQCH7%2BH8,Sufficient Quantity,11,60637
1.6,"N Des Plaines St & W Randolph St, Chicago, IL",23,41.88461619,-87.64457059,96,Desplaines St & Randolph St,86HJV9M4%2BR5,Excess,23,60661
2.4,"Field Museum, 1400 S Lake Shore Dr, Chicago, IL",44,41.865312,-87.617867,97,Field Museum,86HJV98J%2B4V,Excess,55,60605
2,"N La Salle St & W Washington St, Chicago, IL",5,41.882664,-87.63253,98,LaSalle St & Washington St,86HJV9M8%2B3X,Deficit,15,60602
3.6,"E Ohio St & N McClurg Ct, Chicago, IL",3,41.89259212,-87.61728913,99,McClurg Ct & Ohio St,86HJV9VM%2B23,Deficit,19,60611
2.2,"W Merchandise Mart Plaza & N Orleans St, Chicago, IL",31,41.888243,-87.63639,100,Orleans St & Merchandise Mart Plaza,86HJV9Q7%2B7C,Excess,35,60654
8.3,"63rd Street Beach, Chicago, IL",8,41.78091096,-87.57632375,101,63rd St Beach,86HJQCJF%2B9F,Sufficient Quantity,15,60649
8.8,"S Stony Is Ave & E 67th St, Chicago, IL",10,41.7734585,-87.58533974,102,Stony Island Ave & 67th St,86HJQCF7%2B9V,Excess,11,60649
0.7,"W Polk St & S Clinton St, Chicago, IL",11,41.87146652,-87.64094913,103,Clinton St & Polk St,86HJV9C5%2BHJ,Excess,15,60699
3.6,"E Pearson St & N State St, Chicago, IL",25,41.897448,-87.628722,106,State St & Pearson St,86HJV9WC%2BXG,Excess,27,60610
1.3,"Jackson Blvd & S Desplaines St, Chicago, IL",8,41.8781189,-87.6439476,107,Desplaines St & Jackson Blvd,86HJV9H4%2B6C,Deficit,27,60661
0.5,"W Polk St & S Halsted St, Chicago, IL",14,41.87184,-87.64664,108,Halsted St & Polk St,86HJV9C3%2BP8,Excess,19,60607
1,"900 W Harrison St, Chicago, IL",13,41.874754,-87.649807,109,900 W Harrison St,86HJV9F2%2BW3,Excess,19,60607
3.3,"W Erie St & N Dearborn St, Chicago, IL",26,41.893992,-87.629318,110,Dearborn St & Erie St,86HJV9VC%2BH7,Excess,27,60654
3,"W Huron St & N Sedgwick St, Chicago, IL",9,41.894666,-87.638437,111,Sedgwick St & Huron St,86HJV9V6%2BVJ,Deficit,27,60654
1.3,"W Washington Blvd & N Green St, Chicago, IL",5,41.88318131,-87.64872462,112,Green St & Washington Blvd,86HJV9M2%2B7G,Sufficient Quantity,11,60607
10,"W Argyle St & N Sheridan Rd, Chicago, IL",8,41.97328682,-87.65475959,113,Sheridan Rd & Argyle St,86HJX8FW%2B83,Sufficient Quantity,15,60640
7.1,"N Sheffield Ave & W Waveland Ave, Chicago, IL",17,41.949399,-87.654529,114,Sheffield Ave & Waveland Ave,86HJW8XW%2BQ5,Excess,27,60613
5,"N Sheffield Ave & W Wellington Ave, Chicago, IL",12,41.93625348,-87.6526621,115,Sheffield Ave & Wellington Ave,86HJW8PW%2BGW,Sufficient Quantity,23,60657
5.2,"N Winnebago Ave & N Western Ave, Chicago, IL",13,41.91552,-87.687022,116,Western Ave & Winnebago Ave,86HJW887%2B65,Excess,15,60647
6.6,"W Belmont Ave & N Wilton Ave, Chicago, IL",24,41.94023192,-87.65294373,117,Wilton Ave & Belmont Ave,86HJW8RW%2B3R,Excess,27,60657
3.5,"N Sedgwick St, Chicago, IL",9,41.911386,-87.638677,118,Sedgwick St & North Ave,86HJW966%2BHG,Sufficient Quantity,19,60610
2.4,"N Ashland Ave & W Lake St, Chicago, IL",9,41.88592,-87.66717,119,Ashland Ave & Lake St,86HJV8PM%2B94,Sufficient Quantity,19,60612
1.6,"S Wentworth Ave & W Cermak Rd, Chicago, IL",4,41.85308456,-87.63193131,120,Wentworth Ave & Cermak Rd,86HJV939%2B66,Deficit,19,60616
6.8,"E Hyde Park Blvd & S Blackstone Ave, Chicago, IL",9,41.802562,-87.590368,121,Blackstone Ave & Hyde Park Blvd,86HJRC35%2B2V,Sufficient Quantity,19,60615
2.1,"W Congress Pkwy & W Ogden Ave, Chicago, IL",8,41.87501,-87.67328,122,Ogden Ave & Congress Pkwy,86HJV8GG%2B2M,Sufficient Quantity,15,60612
5.7,"N California Ave & N Milwaukee Ave, Chicago, IL",10,41.922695,-87.697153,123,California Ave & Milwaukee Ave,86HJW8F3%2B34,Excess,15,60647
2.4,"W Cullerton St & S Damen Ave, Chicago, IL",12,41.85496652,-87.67569959,124,Damen Ave & Cullerton St,86HJV83F%2BXP,Excess,15,60608
3,"N Rush St & E Hubbard St, Chicago, IL",16,41.890173,-87.626185,125,Rush St & Hubbard St,86HJV9RF%2B3G,Excess,23,60611
3.7,"W North Ave & N Clark St, Chicago, IL",12,41.911974,-87.631942,126,Clark St & North Ave,86HJW969%2BQ6,Excess,15,60610
5.4,"N Lincoln Ave & W Fullerton Ave, Chicago, IL",12,41.92416103,-87.64638037,127,Lincoln Ave & Fullerton Ave,86HJW9F3%2BMC,Excess,15,60614
3.8,"N Damen Ave & W Chicago Ave, Chicago, IL",15,41.895769,-87.67722,128,Damen Ave & Chicago Ave,86HJV8WF%2B84,Excess,19,60622
1.2,"S Blue Island Ave & W 18th St, Chicago, IL",8,41.857556,-87.661535,129,Blue Island Ave & 18th St,86HJV85Q%2B29,Sufficient Quantity,15,60608
3.8,"N Damen Ave & W Division St, Chicago, IL",3,41.903266,-87.678435,130,Damen Ave & Division St,86HJW83C%2B8J,Deficit,19,60622
5.7,"N Lincoln Ave & W Belmont Ave, Chicago, IL",10,41.93953162,-87.67111436,131,Lincoln Ave & Belmont Ave (Temp),86HJW8QH%2BRH,Excess,15,60657
1.8,"Divvy, Wentworth Ave & 24th St (Temp), Chicago, IL",15,41.85008369,-87.63214052,132,Wentworth Ave & 24th St (Temp),86HJV929%2B24,Excess,15,60616
2.1,"N Kingsbury St & W Kinzie St, Chicago, IL",10,41.88917683,-87.63850577,133,Kingsbury St & Kinzie St,86HJV9Q6%2BMH,Deficit,31,60654
1,"S Peoria St & Jackson Blvd, Chicago, IL",13,41.8776416,-87.64961779,134,Peoria St & Jackson Blvd,86HJV9H2%2B35,Excess,19,60607
0.8,"W 21st St & S Halsted St, Chicago, IL",9,41.85377981,-87.64660299,135,Halsted St & 21st St,86HJV933%2BG9,Excess,11,60608
0.7,"S Racine Ave & W 13th St, Chicago, IL",3,41.865054,-87.656959,136,Racine Ave & 13th St,86HJV88V%2B26,Deficit,15,60608
0.5,"W 14th Pl & S Morgan St, Chicago, IL",3,41.862378,-87.651062,137,Morgan Ave & 14th Pl,86HJV86X%2BXH,Deficit,15,60608
3.1,"N Clybourn Ave & W Division St, Chicago, IL",1,41.904613,-87.640552,138,Clybourn Ave & Division St,86HJW935%2BRQ,Deficit,15,60610
3.4,"Dearborn Pkwy & Delaware Pl, Chicago, IL",7,41.898969,-87.629912,140,Dearborn Pkwy & Delaware Pl,86HJV9XC%2BH2,Deficit,19,60610
4.6,"N Lincoln Ave & N Clark St, Chicago, IL",23,41.915689,-87.6346,141,Clark St & Lincoln Ave,86HJW988%2B75,Excess,23,60614
3.6,"N McClurg Ct & E Erie St, Chicago, IL",18,41.894503,-87.617854,142,McClurg Ct & Erie St,86HJV9VJ%2BRV,Sufficient Quantity,31,60611
5.2,"W Webster Ave & N Sedgwick St, Chicago, IL",0,41.922167,-87.638888,143,Sedgwick St & Webster Ave,86HJW9C6%2BVC,Deficit,15,60614
4.1,"W Webster Ave & N Larrabee St, Chicago, IL",18,41.921822,-87.64414,144,Larrabee St & Webster Ave,86HJW9C4%2BP8,Excess,19,60614
3.9,"N Mies Van Der Rohe Way & E Chestnut St, Chicago, IL",3,41.89858665,-87.62191523,145,Mies van der Rohe Way & Chestnut St,86HJV9XH%2BC6,Deficit,19,60611
1.6,"Jackson Blvd & S Loomis St, Chicago, IL",2,41.877945,-87.662007,146,Loomis St & Jackson Blvd,86HJV8HQ%2B55,Deficit,19,60607
2.7,"S Indiana Ave & E 26th St, Chicago, IL",3,41.845687,-87.622481,147,Indiana Ave & 26th St,86HJR9WH%2B72,Deficit,15,60616
2.9,"W 33rd St & S State St, Chicago, IL",14,41.834734,-87.625813,148,State St & 33rd St,86HJR9MF%2BVM,Excess,15,60616
3.5,"S Calumet Ave & E 33rd Blvd, Chicago, IL",10,41.8349,-87.61793,149,Calumet Ave & 33rd St,86HJR9MJ%2BXR,Excess,11,60616
3.8,"E 31st St & Fort Dearborn Dr, Chicago, IL",17,41.838556,-87.608218,150,Fort Dearborn Dr & 31st St,86HJR9QR%2BCP,Excess,27,60616
4.8,"W Diversey Pkwy & N Lincoln Ave, Chicago, IL",3,41.932225,-87.658617,152,Lincoln Ave & Diversey Pkwy,86HJW8JR%2BVH,Deficit,15,60614
5.7,"W Wellington Ave & N Southport Ave, Chicago, IL",12,41.935733,-87.663576,153,Southport Ave & Wellington Ave,86HJW8PP%2B7H,Excess,19,60657
6,"N Southport Ave & W Belmont Ave, Chicago, IL",14,41.93947775,-87.66374767,154,Southport Ave & Belmont Ave,86HJW8QP%2BQG,Excess,15,60657
6.2,"W Wellington Ave & N Clark St, Chicago, IL",15,41.93649682,-87.64753866,156,Clark St & Wellington Ave,86HJW9P2%2BHX,Excess,15,60657
7,"DuSable Lake Shore Dr & Wellington Ave, Chicago, IL",12,41.93668845,-87.63682902,157,DuSable Lake Shore Dr & Wellington Ave,86HJW9P7%2BM7,Excess,15,60657
4.4,"N Milwaukee Ave & W Wabansia Ave, Chicago, IL",6,41.912616,-87.681391,158,Milwaukee Ave & Wabansia Ave,86HJW879%2B2C,Deficit,15,60647
4.6,"N Claremont Ave & W Hirsch St, Chicago, IL",8,41.907781,-87.685854,159,Claremont Ave & Hirsch St,86HJW857%2B4M,Excess,11,60622
4.9,"W North Ave & N Campbell Ave, Chicago, IL",14,41.910535,-87.689556,160,Campbell Ave & North Ave,86HJW866%2B65,Excess,15,60647
3.4,"N Rush St & E Superior St, Chicago, IL",13,41.89576475,-87.62590803,161,Rush St & Superior St,86HJV9WF%2B8J,Sufficient Quantity,23,60611
5.6,"W Wellington Ave & N Damen Ave, Chicago, IL",15,41.93588,-87.67842,162,Damen Ave & Wellington Ave,86HJW8PC%2B9J,Excess,15,60618
5.3,"N Clybourn Ave & N Damen Ave, Chicago, IL",5,41.931931,-87.677856,163,Damen Ave & Clybourn Ave,86HJW8JC%2BQV,Deficit,15,60618
2,"N Franklin St & W Lake St, Chicago, IL",19,41.885837,-87.6355,164,Franklin St & Lake St,86HJV9P7%2B8R,Excess,27,60606
7,"W Grace St & N Clark St, Chicago, IL",6,41.95078,-87.659172,165,Clark St & Grace St,86HJX82R%2B88,Deficit,23,60613
5,"W Wrightwood Ave & Ashland Ave, Chicago, IL",2,41.92883,-87.668507,166,Ashland Ave & Wrightwood Ave,86HJW8HJ%2BGH,Deficit,15,60614
2.4,"W Coulter St & S Damen Ave, Chicago, IL",1,41.8492,-87.67564,167,Damen Ave & Coulter St,86HJR8XF%2BMP,Deficit,7,60608
1.5,"Michigan Ave & E 14th St, Chicago, IL",15,41.864059,-87.623727,168,Michigan Ave & 14th St,86HJV97G%2BJG,Excess,19,60605
1,"S Canal St & W Harrison St, Chicago, IL",5,41.874255,-87.639573,169,Canal St & Harrison St,86HJV9F6%2BP5,Deficit,15,60699
0.9,"W 18th St & S Clinton St, Chicago, IL",2,41.85795,-87.640826,170,Clinton St & 18th St,86HJV955%2B5M,Deficit,15,60616
1.1,"S May St & W Cullerton St, Chicago, IL",6,41.855136,-87.654127,171,May St & Cullerton St,86HJV84W%2B38,Sufficient Quantity,11,60608
3.9,"N Rush St & E Cedar St, Chicago, IL",2,41.9023087,-87.62769053,172,Rush St & Cedar St,86HJW92C%2BWW,Deficit,11,60610
3.8,"N Mies Van Der Rohe Way & E Chicago Ave, Chicago, IL",10,41.89694463,-87.62175769,173,Mies van der Rohe Way & Chicago Ave,86HJV9WH%2BQ7,Excess,15,60611
1.5,"W Madison St & N Canal St, Chicago, IL",20,41.882091,-87.639833,174,Canal St & Madison St,86HJV9J6%2BR3,Sufficient Quantity,35,60606
1.4,"S Wells St & W Polk St, Chicago, IL",14,41.87273154,-87.63351649,175,Wells St & Polk St,86HJV9F8%2B3H,Excess,19,60607
3.8,"W Elm St & N Clark St, Chicago, IL",16,41.902973,-87.63128,176,Clark St & Elm St,86HJW939%2B5F,Deficit,39,60610
6,"Theater on the Lake, 2401 N Lake Shore Dr., Chicago, IL",15,41.926277,-87.630834,177,Theater on the Lake,86HJW9G9%2BGM,Sufficient Quantity,31,60614
1.6,"W 19th St & S State St, Chicago, IL",6,41.856594,-87.627542,178,State St & 19th St,86HJV94C%2BJX,Deficit,15,60616
4.3,"King Drive & Pershing, Chicago, IL",15,41.8246,-87.61678,179,MLK Jr Dr & Pershing Rd,86HJR9FM%2BR7,Excess,15,60653
4.3,"E Banks St & N Ritchie Ct, Chicago, IL",4,41.906866,-87.626217,180,Ritchie Ct & Banks St,86HJW94F%2BPG,Deficit,15,60610
2.8,"W Illinois St & N La Salle St, Chicago, IL",11,41.890762,-87.631697,181,LaSalle St & Illinois St,86HJV9R9%2B88,Deficit,31,60654
3.4,"N Wells St, Chicago, IL",21,41.903222,-87.634324,182,Wells St & Elm St,86HJW938%2B77,Excess,23,60606
3.8,"N Damen Ave & W Thomas St, Chicago, IL",21,41.901315,-87.677409,183,Damen Ave & Thomas St (Augusta Blvd),86HJW82F%2BG2,Excess,23,60622
3.2,"W 35th St & S State St, Chicago, IL",6,41.83103631,-87.62679756,184,State St & 35th St,86HJR9JF%2BC7,Deficit,19,60609
5.3,"N Stave St & W Armitage Ave, Chicago, IL",0,41.917741,-87.691392,185,Stave St & Armitage Ave,86HJW895%2B3C,Deficit,11,60647
2.9,"N Ogden Ave & W Race Ave, Chicago, IL",0,41.891795,-87.658751,186,Ogden Ave & Race Ave,86HJV8RR%2BPF,Deficit,15,60642
4.9,"W Fullerton Ave & N Greenview Ave, Chicago, IL",6,41.92533,-87.6658,188,Greenview Ave & Fullerton Ave,86HJW8GM%2B4M,Deficit,15,60614
5.2,"N Southport Ave & W Wrightwood Ave, Chicago, IL",3,41.928773,-87.663913,190,Southport Ave & Wrightwood Ave,86HJW8HP%2BGC,Deficit,15,60614
